analysis_unit_id,accession,input_relative_path,raw_left_label,raw_right_label,orientation_multiplier,unified_contrast_label,flight_group_label,control_group_label,n_flight_samples,n_control_samples,flight_samples,control_samples,expression_scale,score_method
OSD-240,OSD-240,02_processed_data/osdr_processed/OSD-240/GLDS-240_rna_seq_differential_expression.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,10,10,Mmus_BAL-TAL_DSKN_FLT_Rep1_F1;Mmus_BAL-TAL_DSKN_FLT_Rep2_F2;Mmus_BAL-TAL_DSKN_FLT_Rep3_F3;Mmus_BAL-TAL_DSKN_FLT_Rep4_F4;Mmus_BAL-TAL_DSKN_FLT_Rep5_F5;Mmus_BAL-TAL_DSKN_FLT_Rep6_F6;Mmus_BAL-TAL_DSKN_FLT_Rep7_F7;Mmus_BAL-TAL_DSKN_FLT_Rep8_F8;Mmus_BAL-TAL_DSKN_FLT_Rep9_F9;Mmus_BAL-TAL_DSKN_FLT_Rep10_F10,Mmus_BAL-TAL_DSKN_GC_Rep1_G1;Mmus_BAL-TAL_DSKN_GC_Rep2_G2;Mmus_BAL-TAL_DSKN_GC_Rep3_G3;Mmus_BAL-TAL_DSKN_GC_Rep4_G4;Mmus_BAL-TAL_DSKN_GC_Rep5_G5;Mmus_BAL-TAL_DSKN_GC_Rep6_G6;Mmus_BAL-TAL_DSKN_GC_Rep7_G7;Mmus_BAL-TAL_DSKN_GC_Rep8_G8;Mmus_BAL-TAL_DSKN_GC_Rep9_G9;Mmus_BAL-TAL_DSKN_GC_Rep10_G10,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-241,OSD-241,02_processed_data/osdr_processed/OSD-241/GLDS-241_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,10,Mmus_BAL-TAL_FSKN_FLT_Rep1_F1;Mmus_BAL-TAL_FSKN_FLT_Rep2_F2;Mmus_BAL-TAL_FSKN_FLT_Rep3_F3;Mmus_BAL-TAL_FSKN_FLT_Rep4_F4;Mmus_BAL-TAL_FSKN_FLT_Rep5_F5;Mmus_BAL-TAL_FSKN_FLT_Rep6_F6;Mmus_BAL-TAL_FSKN_FLT_Rep7_F7;Mmus_BAL-TAL_FSKN_FLT_Rep8_F9;Mmus_BAL-TAL_FSKN_FLT_Rep9_F10,Mmus_BAL-TAL_FSKN_GC_Rep1_G1;Mmus_BAL-TAL_FSKN_GC_Rep2_G2;Mmus_BAL-TAL_FSKN_GC_Rep3_G3;Mmus_BAL-TAL_FSKN_GC_Rep4_G4;Mmus_BAL-TAL_FSKN_GC_Rep5_G5;Mmus_BAL-TAL_FSKN_GC_Rep6_G6;Mmus_BAL-TAL_FSKN_GC_Rep7_G7;Mmus_BAL-TAL_FSKN_GC_Rep8_G8;Mmus_BAL-TAL_FSKN_GC_Rep9_G9;Mmus_BAL-TAL_FSKN_GC_Rep10_G10,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-242,OSD-242,02_processed_data/osdr_processed/OSD-242/GLDS-242_rna_seq_differential_expression.csv,FLT_C1,GC_C2,1,Space Flight vs Ground,FLT_C1,GC_C2,5,4,Mmus_C57-6J_LVR_FLT_C1_Rep1_F1;Mmus_C57-6J_LVR_FLT_C1_Rep2_F2;Mmus_C57-6J_LVR_FLT_C1_Rep3_F3;Mmus_C57-6J_LVR_FLT_C1_Rep4_F4;Mmus_C57-6J_LVR_FLT_C1_Rep5_F5,Mmus_C57-6J_LVR_GC_C2_Rep1_G1;Mmus_C57-6J_LVR_GC_C2_Rep2_G3;Mmus_C57-6J_LVR_GC_C2_Rep3_G4;Mmus_C57-6J_LVR_GC_C2_Rep4_G5,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-253,OSD-253,02_processed_data/osdr_processed/OSD-253/GLDS-253_rna_seq_differential_expression_GLbulkRNAseq.csv,C57BL/6J & Ground Control Rerun & ~25 day & White light,C57BL/6J & Space Flight & ~25 day & White light,-1,Space Flight vs Ground,C57BL/6J & Space Flight & ~25 day & White light,C57BL/6J & Ground Control Rerun & ~25 day & White light,5,4,Mmus_C57-6J_KDN_FLT_25days_Rep1_F1;Mmus_C57-6J_KDN_FLT_25days_Rep2_F5;Mmus_C57-6J_KDN_FLT_25days_Rep3_F9;Mmus_C57-6J_KDN_FLT_25days_Rep4_F13;Mmus_C57-6J_KDN_FLT_25days_Rep5_F17,RR7_KDN_GCrerun_25days_White_Rep1_GR03;RR7_KDN_GCrerun_25days_White_Rep3_GR19;RR7_KDN_GCrerun_25days_White_Rep4_GR27;RR7_KDN_GCrerun_25days_White_Rep5_GR35,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-253__C3H_25,OSD-253,02_processed_data/osdr_processed/OSD-253/GLDS-253_rna_seq_differential_expression_GLbulkRNAseq.csv,C3H/HeJ & Ground Control Rerun & ~25 day & White light,C3H/HeJ & Space Flight & ~25 day & White light,-1,Space Flight vs Ground,C3H/HeJ & Space Flight & ~25 day & White light,C3H/HeJ & Ground Control Rerun & ~25 day & White light,5,5,Mmus_C3H-HeJ_KDN_FLT_25days_Rep1_F2;Mmus_C3H-HeJ_KDN_FLT_25days_Rep2_F6;Mmus_C3H-HeJ_KDN_FLT_25days_Rep3_F10;Mmus_C3H-HeJ_KDN_FLT_25days_Rep4_F14;Mmus_C3H-HeJ_KDN_FLT_25days_Rep5_F18,RR7_KDN_GCrerun_25days_White_Rep1_GR04;RR7_KDN_GCrerun_25days_White_Rep2_GR12;RR7_KDN_GCrerun_25days_White_Rep3_GR20;RR7_KDN_GCrerun_25days_White_Rep4_GR28;RR7_KDN_GCrerun_25days_White_Rep5_GR36,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-253__C3H_75,OSD-253,02_processed_data/osdr_processed/OSD-253/GLDS-253_rna_seq_differential_expression_GLbulkRNAseq.csv,C3H/HeJ & Ground Control Rerun & ~75 day & White light,C3H/HeJ & Space Flight & ~75 day & White light,-1,Space Flight vs Ground,C3H/HeJ & Space Flight & ~75 day & White light,C3H/HeJ & Ground Control Rerun & ~75 day & White light,5,5,Mmus_C3H-HeJ_KDN_FLT_75days_Rep1_F4;Mmus_C3H-HeJ_KDN_FLT_75days_Rep2_F8;Mmus_C3H-HeJ_KDN_FLT_75days_Rep3_F12;Mmus_C3H-HeJ_KDN_FLT_75days_Rep4_F16;Mmus_C3H-HeJ_KDN_FLT_75days_Rep5_F20,RR7_KDN_GCrerun_75days_White_Rep1_GR08;RR7_KDN_GCrerun_75days_White_Rep2_GR16;RR7_KDN_GCrerun_75days_White_Rep3_GR24;RR7_KDN_GCrerun_75days_White_Rep4_GR32;RR7_KDN_GCrerun_75days_White_Rep5_GR40,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-253__C57BL_75,OSD-253,02_processed_data/osdr_processed/OSD-253/GLDS-253_rna_seq_differential_expression_GLbulkRNAseq.csv,C57BL/6J & Ground Control Rerun & ~75 day & White light,C57BL/6J & Space Flight & ~75 day & White light,-1,Space Flight vs Ground,C57BL/6J & Space Flight & ~75 day & White light,C57BL/6J & Ground Control Rerun & ~75 day & White light,5,5,Mmus_C57-6J_KDN_FLT_75days_Rep1_F3;Mmus_C57-6J_KDN_FLT_75days_Rep2_F7;Mmus_C57-6J_KDN_FLT_75days_Rep3_F11;Mmus_C57-6J_KDN_FLT_75days_Rep4_F15;Mmus_C57-6J_KDN_FLT_75days_Rep5_F19,RR7_KDN_GCrerun_75days_White_Rep1_GR07;RR7_KDN_GCrerun_75days_White_Rep2_GR15;RR7_KDN_GCrerun_75days_White_Rep3_GR23;RR7_KDN_GCrerun_75days_White_Rep4_GR31;RR7_KDN_GCrerun_75days_White_Rep5_GR39,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-254,OSD-254,02_processed_data/osdr_processed/OSD-254/GLDS-254_rna_seq_differential_expression.csv,Ground Control & C57BL/6J & ~25,Space Flight & C57BL/6J & ~25,-1,Space Flight vs Ground,Space Flight & C57BL/6J & ~25,Ground Control & C57BL/6J & ~25,5,5,Mmus_C57-6J_SKN_FLT_25days_Rep1_F1;Mmus_C57-6J_SKN_FLT_25days_Rep2_F5;Mmus_C57-6J_SKN_FLT_25days_Rep3_F9;Mmus_C57-6J_SKN_FLT_25days_Rep4_F13;Mmus_C57-6J_SKN_FLT_25days_Rep5_F17,Mmus_C57-6J_SKN_GC_25days_Rep1_G1;Mmus_C57-6J_SKN_GC_25days_Rep2_G5;Mmus_C57-6J_SKN_GC_25days_Rep3_G9;Mmus_C57-6J_SKN_GC_25days_Rep4_G13;Mmus_C57-6J_SKN_GC_25days_Rep5_G17,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-254__C3H_25,OSD-254,02_processed_data/osdr_processed/OSD-254/GLDS-254_rna_seq_differential_expression.csv,Ground Control & C3H/HeJ & ~25,Space Flight & C3H/HeJ & ~25,-1,Space Flight vs Ground,Space Flight & C3H/HeJ & ~25,Ground Control & C3H/HeJ & ~25,5,5,Mmus_C3H-HeJ_SKN_FLT_25days_Rep1_F2;Mmus_C3H-HeJ_SKN_FLT_25days_Rep2_F6;Mmus_C3H-HeJ_SKN_FLT_25days_Rep3_F10;Mmus_C3H-HeJ_SKN_FLT_25days_Rep4_F14;Mmus_C3H-HeJ_SKN_FLT_25days_Rep5_F18,Mmus_C3H-HeJ_SKN_GC_25days_Rep1_G2;Mmus_C3H-HeJ_SKN_GC_25days_Rep2_G6;Mmus_C3H-HeJ_SKN_GC_25days_Rep3_G10;Mmus_C3H-HeJ_SKN_GC_25days_Rep4_G14;Mmus_C3H-HeJ_SKN_GC_25days_Rep5_G18,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-254__C3H_75,OSD-254,02_processed_data/osdr_processed/OSD-254/GLDS-254_rna_seq_differential_expression.csv,Ground Control & C3H/HeJ & ~75,Space Flight & C3H/HeJ & ~75,-1,Space Flight vs Ground,Space Flight & C3H/HeJ & ~75,Ground Control & C3H/HeJ & ~75,5,5,Mmus_C3H-HeJ_SKN_FLT_75days_Rep1_F4;Mmus_C3H-HeJ_SKN_FLT_75days_Rep2_F8;Mmus_C3H-HeJ_SKN_FLT_75days_Rep3_F12;Mmus_C3H-HeJ_SKN_FLT_75days_Rep4_F16;Mmus_C3H-HeJ_SKN_FLT_75days_Rep5_F20,Mmus_C3H-HeJ_SKN_GC_75days_Rep1_G4;Mmus_C3H-HeJ_SKN_GC_75days_Rep2_G8;Mmus_C3H-HeJ_SKN_GC_75days_Rep3_G12;Mmus_C3H-HeJ_SKN_GC_75days_Rep4_G16;Mmus_C3H-HeJ_SKN_GC_75days_Rep5_G20,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-254__C57BL_75,OSD-254,02_processed_data/osdr_processed/OSD-254/GLDS-254_rna_seq_differential_expression.csv,Ground Control & C57BL/6J & ~75,Space Flight & C57BL/6J & ~75,-1,Space Flight vs Ground,Space Flight & C57BL/6J & ~75,Ground Control & C57BL/6J & ~75,5,5,Mmus_C57-6J_SKN_FLT_75days_Rep1_F3;Mmus_C57-6J_SKN_FLT_75days_Rep2_F7;Mmus_C57-6J_SKN_FLT_75days_Rep3_F11;Mmus_C57-6J_SKN_FLT_75days_Rep4_F15;Mmus_C57-6J_SKN_FLT_75days_Rep5_F19,Mmus_C57-6J_SKN_GC_75days_Rep1_G3;Mmus_C57-6J_SKN_GC_75days_Rep2_G7;Mmus_C57-6J_SKN_GC_75days_Rep3_G15;Mmus_C57-6J_SKN_GC_75days_Rep4_G11;Mmus_C57-6J_SKN_GC_75days_Rep5_G19,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-255,OSD-255,02_processed_data/osdr_processed/OSD-255/GLDS-255_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,8,8,GSM3932701;GSM3932702;GSM3932703;GSM3932704;GSM3932705;GSM3932706;GSM3932707;GSM3932708,GSM3932693;GSM3932694;GSM3932695;GSM3932696;GSM3932697;GSM3932698;GSM3932699;GSM3932700,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-379,OSD-379,02_processed_data/osdr_processed/OSD-379/GLDS-379_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & ~40 day & On Earth & Upon euthanasia & 10 to 12 week,Space Flight & ~40 day & On Earth & Upon euthanasia & 10 to 12 week,-1,Space Flight vs Ground,Space Flight & ~40 day & On Earth & Upon euthanasia & 10 to 12 week,Ground Control & ~40 day & On Earth & Upon euthanasia & 10 to 12 week,8,8,RR8_LVR_FLT_LAR_YNG_FL1;RR8_LVR_FLT_LAR_YNG_FL2;RR8_LVR_FLT_LAR_YNG_FL5;RR8_LVR_FLT_LAR_YNG_FL6;RR8_LVR_FLT_LAR_YNG_FL13;RR8_LVR_FLT_LAR_YNG_FL14;RR8_LVR_FLT_LAR_YNG_FL17;RR8_LVR_FLT_LAR_YNG_FL18,RR8_LVR_GC_LAR_YNG_GL1;RR8_LVR_GC_LAR_YNG_GL2;RR8_LVR_GC_LAR_YNG_GL5;RR8_LVR_GC_LAR_YNG_GL6;RR8_LVR_GC_LAR_YNG_GL13;RR8_LVR_GC_LAR_YNG_GL14;RR8_LVR_GC_LAR_YNG_GL17;RR8_LVR_GC_LAR_YNG_GL18,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-379__age_32w,OSD-379,02_processed_data/osdr_processed/OSD-379/GLDS-379_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & ~40 day & On Earth & Upon euthanasia & 32 week,Space Flight & ~40 day & On Earth & Upon euthanasia & 32 week,-1,Space Flight vs Ground,Space Flight & ~40 day & On Earth & Upon euthanasia & 32 week,Ground Control & ~40 day & On Earth & Upon euthanasia & 32 week,7,7,RR8_LVR_FLT_LAR_OLD_FL3;RR8_LVR_FLT_LAR_OLD_FL4;RR8_LVR_FLT_LAR_OLD_FL7;RR8_LVR_FLT_LAR_OLD_FL8;RR8_LVR_FLT_LAR_OLD_FL11;RR8_LVR_FLT_LAR_OLD_FL15;RR8_LVR_FLT_LAR_OLD_FL16,RR8_LVR_GC_LAR_OLD_GL3;RR8_LVR_GC_LAR_OLD_GL4;RR8_LVR_GC_LAR_OLD_GL7;RR8_LVR_GC_LAR_OLD_GL8;RR8_LVR_GC_LAR_OLD_GL11;RR8_LVR_GC_LAR_OLD_GL12;RR8_LVR_GC_LAR_OLD_GL15,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-397,OSD-397,02_processed_data/osdr_processed/OSD-397/GLDS-397_rna_seq_differential_expression.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,7,M21;M22;M23;M24;M25;M26;M27;M29;M30,M31;M32;M33;M34;M35;M36;M37,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-419,OSD-419,02_processed_data/osdr_processed/OSD-419/GLDS-419_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,4,8,RR1_GST-R_FLT_M23;RR1_GST-R_FLT_M24;RR1_GST-R_FLT_M25;RR1_GST-R_FLT_M26,RR1_GST-R_GC_M33;RR1_GST-R_GC_M34;RR1_GST-R_GC_M35;RR1_GST-R_GC_M36;RR1_GST-R_GC_M37;RR1_GST-R_GC_M38;RR1_GST-R_GC_M39;RR1_GST-R_GC_M40,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-421,OSD-421,02_processed_data/osdr_processed/OSD-421/GLDS-421_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,10,10,RR9_TMS_FLT_F1;RR9_TMS_FLT_F6;RR9_TMS_FLT_F7;RR9_TMS_FLT_F3;RR9_TMS_FLT_F5;RR9_TMS_FLT_F2;RR9_TMS_FLT_F8;RR9_TMS_FLT_F4;RR9_TMS_FLT_F10;RR9_TMS_FLT_F9,RR9_TMS_GC_G4;RR9_TMS_GC_G10;RR9_TMS_GC_G1;RR9_TMS_GC_G7;RR9_TMS_GC_G6;RR9_TMS_GC_G9;RR9_TMS_GC_G8;RR9_TMS_GC_G3;RR9_TMS_GC_G2;RR9_TMS_GC_G5,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
