broad_tissue_category,original_material_type,accession,analysis_tissue,tissue_definition,normalization_rule,mapping_source,included_in_exact_go_analysis,n_analysis_units,n_biological_experiments,n_missions
肌肉,Right extensor digitorum longus,OSD-665,Extensor digitorum longus,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肌肉,Right quadriceps femoris,OSD-666,Quadriceps femoris,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
胃肠道,Colon,OSD-667,Colon,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肝脏/代谢,Liver,OSD-686,Liver,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
骨髓,Bone Marrow,OSD-690,Bone marrow,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肌肉,Soleus,OSD-714,Soleus,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
眼/视网膜,Right retina,OSD-758,Retina,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
眼/视网膜,Right optic nerve,OSD-759,Optic nerve,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肌肉,Right soleus,OSD-770,Soleus,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肾脏/泌尿,Right kidney,OSD-771,Kidney,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,2,1,1
胃肠道,Cecum,OSD-899,Cecum,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肺/呼吸道,Right Lung,OSD-900,Lung,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
肌肉,Extensor digitorum longus- both sides,OSD-99,Extensor digitorum longus,normalized_original_material_type,case_whitespace_and_non_tissue_cleanup; remove whole-tissue laterality and both-sides labels; preserve anatomical subparts and distinct tissue types,01_osdr_database/主分析数据集_OSDR数据库抽取_20260617.csv,True,1,1,1
