Tissue,Pathway,Pathway_Total_Genes,Total_Samples,Flight_Samples,Ground_Samples,Min_Detected_Genes,Q1_Detected_Genes,Median_Detected_Genes,Mean_Detected_Genes,Q3_Detected_Genes,Max_Detected_Genes
Femoral skin,NHEJ,18,5,2,3,17,17.0,17.0,17.0,17.0,17
Gastrocnemius,AEJ,9,24,10,14,5,7.0,8.0,7.83333333333333,9.0,9
Gastrocnemius,BER,54,24,10,14,38,44.0,49.0,47.875,52.25,53
Gastrocnemius,FA,39,24,10,14,16,20.75,31.5,29.125,37.25,38
Gastrocnemius,HR,135,24,10,14,80,98.5,117.5,112.416666666667,128.0,129
Gastrocnemius,MMR,27,24,10,14,20,22.0,24.5,24.2083333333333,27.0,27
Gastrocnemius,NER,53,24,10,14,39,47.0,52.0,49.7916666666667,53.0,53
Gastrocnemius,NHEJ,18,24,10,14,12,16.0,17.0,16.2916666666667,17.0,17
Heart,AEJ,9,6,3,3,9,9.0,9.0,9.0,9.0,9
Heart,BER,54,6,3,3,51,51.25,52.0,51.6666666666667,52.0,52
Heart,FA,39,6,3,3,38,39.0,39.0,38.8333333333333,39.0,39
Heart,HR,135,6,3,3,127,127.25,128.0,128.0,128.75,129
Heart,MMR,27,6,3,3,25,25.25,26.0,25.6666666666667,26.0,26
Heart,NER,53,6,3,3,52,52.0,52.0,52.0,52.0,52
Heart,NHEJ,18,6,3,3,17,17.0,17.0,17.0,17.0,17
Heart / Heart right ventricle,AEJ,9,30,10,20,9,9.0,9.0,9.0,9.0,9
Heart / Heart right ventricle,BER,54,30,10,20,51,51.0,52.0,52.0,53.0,53
Heart / Heart right ventricle,FA,39,30,10,20,38,39.0,39.0,38.9666666666667,39.0,39
Heart / Heart right ventricle,HR,135,30,10,20,131,132.25,133.0,132.933333333333,134.0,134
Heart / Heart right ventricle,MMR,27,30,10,20,26,26.0,27.0,26.5333333333333,27.0,27
Heart / Heart right ventricle,NER,53,30,10,20,52,53.0,53.0,52.9666666666667,53.0,53
Heart / Heart right ventricle,NHEJ,18,30,10,20,17,17.0,17.0,17.0333333333333,17.0,18
Kidney,AEJ,9,119,55,64,8,9.0,9.0,8.99159663865546,9.0,9
Kidney,BER,54,119,55,64,51,52.0,52.0,52.1764705882353,52.5,53
Kidney,FA,39,119,55,64,37,39.0,39.0,38.8655462184874,39.0,39
Kidney,HR,135,119,55,64,128,132.0,133.0,132.563025210084,134.0,134
Kidney,MMR,27,119,55,64,26,26.0,27.0,26.5378151260504,27.0,27
Kidney,NER,53,119,55,64,52,53.0,53.0,52.8487394957983,53.0,53
Kidney,NHEJ,18,119,55,64,17,17.0,17.0,17.0504201680672,17.0,18
Left lobe of the liver,AEJ,9,48,24,24,8,9.0,9.0,8.89583333333333,9.0,9
Left lobe of the liver,BER,54,48,24,24,50,51.0,52.0,51.8541666666667,52.0,53
Left lobe of the liver,FA,39,48,24,24,37,38.0,39.0,38.4583333333333,39.0,39
Left lobe of the liver,HR,135,48,24,24,123,128.0,129.0,128.9375,130.0,132
Left lobe of the liver,MMR,27,48,24,24,25,26.0,26.0,26.0833333333333,26.0,27
Left lobe of the liver,NER,53,48,24,24,52,52.0,53.0,52.6458333333333,53.0,53
Left lobe of the liver,NHEJ,18,48,24,24,17,17.0,17.0,17.0,17.0,17
Liver,AEJ,9,37,19,18,8,9.0,9.0,8.91891891891892,9.0,9
Liver,BER,54,37,19,18,49,52.0,52.0,51.9459459459459,53.0,53
Liver,FA,39,37,19,18,32,38.0,39.0,37.6486486486487,39.0,39
Liver,HR,135,37,19,18,118,127.0,130.0,128.837837837838,131.0,132
Liver,MMR,27,37,19,18,25,26.0,26.0,26.3243243243243,27.0,27
Liver,NER,53,37,19,18,52,52.0,53.0,52.5135135135135,53.0,53
Liver,NHEJ,18,37,19,18,17,17.0,17.0,17.0,17.0,17
Lung,AEJ,9,27,14,13,9,9.0,9.0,9.0,9.0,9
Lung,BER,54,27,14,13,51,52.0,53.0,52.4444444444444,53.0,53
Lung,FA,39,27,14,13,39,39.0,39.0,39.0,39.0,39
Lung,HR,135,27,14,13,133,133.0,134.0,133.666666666667,134.0,134
Lung,MMR,27,27,14,13,26,27.0,27.0,26.8888888888889,27.0,27
Lung,NER,53,27,14,13,53,53.0,53.0,53.0,53.0,53
Lung,NHEJ,18,27,14,13,17,17.0,17.0,17.0,17.0,17
Mammary gland,AEJ,9,25,10,15,9,9.0,9.0,9.0,9.0,9
Mammary gland,BER,54,25,10,15,52,52.0,53.0,52.64,53.0,53
Mammary gland,FA,39,25,10,15,39,39.0,39.0,39.0,39.0,39
Mammary gland,HR,135,25,10,15,131,133.0,133.0,133.12,134.0,134
Mammary gland,MMR,27,25,10,15,26,27.0,27.0,26.8,27.0,27
Mammary gland,NER,53,25,10,15,52,53.0,53.0,52.96,53.0,53
Mammary gland,NHEJ,18,25,10,15,17,17.0,17.0,17.0,17.0,17
Optic nerve,AEJ,9,17,5,12,9,9.0,9.0,9.0,9.0,9
Optic nerve,BER,54,17,5,12,53,53.0,53.0,53.0,53.0,53
Optic nerve,FA,39,17,5,12,39,39.0,39.0,39.0,39.0,39
Optic nerve,HR,135,17,5,12,132,133.0,133.0,133.529411764706,134.0,135
Optic nerve,MMR,27,17,5,12,27,27.0,27.0,27.0,27.0,27
Optic nerve,NER,53,17,5,12,53,53.0,53.0,53.0,53.0,53
Optic nerve,NHEJ,18,17,5,12,17,17.0,17.0,17.0,17.0,17
Quadriceps femoris,AEJ,9,18,9,9,8,9.0,9.0,8.77777777777778,9.0,9
Quadriceps femoris,BER,54,18,9,9,51,51.0,52.0,51.8888888888889,52.75,53
Quadriceps femoris,FA,39,18,9,9,36,37.0,38.0,37.5555555555556,38.0,39
Quadriceps femoris,HR,135,18,9,9,127,128.0,130.0,129.611111111111,131.0,133
Quadriceps femoris,MMR,27,18,9,9,25,26.0,26.5,26.3888888888889,27.0,27
Quadriceps femoris,NER,53,18,9,9,53,53.0,53.0,53.0,53.0,53
Quadriceps femoris,NHEJ,18,18,9,9,17,17.0,17.0,17.0,17.0,17
Retina,AEJ,9,58,27,31,9,9.0,9.0,9.0,9.0,9
Retina,BER,54,58,27,31,52,52.0,53.0,52.6034482758621,53.0,53
Retina,FA,39,58,27,31,35,38.0,38.5,38.2413793103448,39.0,39
Retina,HR,135,58,27,31,125,129.0,131.0,131.448275862069,134.0,135
Retina,MMR,27,58,27,31,25,27.0,27.0,26.7586206896552,27.0,27
Retina,NER,53,58,27,31,51,52.0,53.0,52.6896551724138,53.0,53
Retina,NHEJ,18,58,27,31,17,17.0,17.0,17.0,17.0,17
Soleus,AEJ,9,36,18,18,8,9.0,9.0,8.88888888888889,9.0,9
Soleus,BER,54,36,18,18,51,52.0,52.0,52.2777777777778,53.0,53
Soleus,FA,39,36,18,18,36,38.0,38.0,38.1388888888889,39.0,39
Soleus,HR,135,36,18,18,124,128.0,129.0,128.666666666667,130.0,132
Soleus,MMR,27,36,18,18,25,26.75,27.0,26.6944444444444,27.0,27
Soleus,NER,53,36,18,18,52,53.0,53.0,52.8611111111111,53.0,53
Soleus,NHEJ,18,36,18,18,17,17.0,17.0,17.3055555555556,18.0,18
Spleen,AEJ,9,17,9,8,9,9.0,9.0,9.0,9.0,9
Spleen,BER,54,17,9,8,53,53.0,53.0,53.0,53.0,53
Spleen,FA,39,17,9,8,39,39.0,39.0,39.0,39.0,39
Spleen,HR,135,17,9,8,133,134.0,134.0,133.764705882353,134.0,134
Spleen,MMR,27,17,9,8,27,27.0,27.0,27.0,27.0,27
Spleen,NER,53,17,9,8,53,53.0,53.0,53.0,53.0,53
Spleen,NHEJ,18,17,9,8,17,17.0,17.0,17.0,17.0,17
Spleen-distal,AEJ,9,20,10,10,8,9.0,9.0,8.8,9.0,9
Spleen-distal,BER,54,20,10,10,46,50.0,51.0,50.55,52.0,52
Spleen-distal,FA,39,20,10,10,30,35.0,37.0,36.3,38.25,39
Spleen-distal,HR,135,20,10,10,113,120.75,124.5,124.1,128.0,131
Spleen-distal,MMR,27,20,10,10,25,25.0,26.0,25.7,26.0,26
Spleen-distal,NER,53,20,10,10,49,51.75,52.0,51.75,52.0,53
Spleen-distal,NHEJ,18,20,10,10,15,17.0,17.0,16.8,17.0,17
Thymus,AEJ,9,48,23,25,8,9.0,9.0,8.9375,9.0,9
Thymus,BER,54,48,23,25,46,50.75,53.0,51.4583333333333,53.0,53
Thymus,FA,39,48,23,25,31,37.0,39.0,37.6666666666667,39.0,39
Thymus,HR,135,48,23,25,114,125.0,133.0,129.708333333333,134.0,134
Thymus,MMR,27,48,23,25,22,26.0,27.0,26.25,27.0,27
Thymus,NER,53,48,23,25,48,52.0,53.0,52.3958333333333,53.0,53
Thymus,NHEJ,18,48,23,25,16,17.0,17.0,17.1666666666667,17.0,18
Tibialis anterior,AEJ,9,18,9,9,8,9.0,9.0,8.94444444444445,9.0,9
Tibialis anterior,BER,54,18,9,9,52,52.25,53.0,52.7222222222222,53.0,53
Tibialis anterior,FA,39,18,9,9,36,37.25,38.0,37.9444444444444,38.75,39
Tibialis anterior,HR,135,18,9,9,127,129.0,129.5,130.055555555556,132.0,133
Tibialis anterior,MMR,27,18,9,9,25,26.0,27.0,26.5555555555556,27.0,27
Tibialis anterior,NER,53,18,9,9,53,53.0,53.0,53.0,53.0,53
Tibialis anterior,NHEJ,18,18,9,9,17,17.0,17.0,17.0,17.0,17
