accession,title,mission_name,category,confidence,euthanasia_after_landing_days,euthanasia_group_scope,evidence_sentence,evidence_sentence_1,evidence_sentence_2,evidence_sentence_count,source_field,notes,tissue_collection_after_landing_days,tissue_collection_timing_category,tissue_collection_scope,tissue_collection_confidence,tissue_collection_source_field,tissue_collection_source_value,tissue_collection_evidence_sentence,tissue_collection_evidence_sentence_1,tissue_collection_evidence_sentence_2,tissue_collection_evidence_sentence_count,tissue_collection_notes
OSD-253,Transcriptional analysis of kidneys from mice flown on the RR-7 mission,SpaceX-15,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later.","After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later.",,1,description,"RR-7: half euthanized on the ISS after 25 d, the rest after 75-76 d; carcasses returned on SpX-15/16. Post-landing time not applicable.",,api_dissection_date_present_interval_unresolved,Ground Control Rerun,api_sample_dissection_date_unresolved,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Ground Control Rerun]: 28-Jul-2021 (n=12); 29-Jul-2021 (n=13),,,,0,API dates apply to Ground Control Rerun records and do not uniquely describe the analyzed flight cohort.
OSD-254,Transcriptional analysis of dorsal skin from mice flown on the RR-7 mission,SpaceX-15,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later.","After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later.",,1,description,RR-7 (dorsal skin): same on-orbit schedule as OSD-253. Post-landing time not applicable.,,api_dissection_date_present_interval_unresolved,Basal Control; Ground Control; Space Flight,api_sample_dissection_date_unresolved,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Basal Control]: 01-Feb-2019 (n=2); 04-Feb-2019 (n=3); 05-Feb-2019 (n=3); 06-Feb-2020 (n=1); 06-Feb-2021 (n=1) | Comment[BSP Dissection Date] [Ground Control]: 01-Feb-2019 (n=1); 04-Feb-2019 (n=1); 05-Feb-2019 (n=1); 05-Feb-2020 (n=1); 06-Feb-2021 (n=1) | Comment[BSP Dissection Date] [Space Flight]: 01-Feb-2019 (n=2); 04-Feb-2019 (n=2); 05-Feb-2019 (n=3); 06-Feb-2021 (n=3),,,,0,API dissection dates span multiple years/cohorts; no single post-landing interval is safe to collapse.
OSD-255,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",SpaceX-12,not_stated,not_stated,,n/a,,,,0,description,Description states the study purpose only; no euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-289,Impact of spaceflight on gene expression in the thymus,"SpaceX-9, SpaceX-12",not_stated,not_stated,,n/a,,,,0,description,Description states the study purpose only; no euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-379,Transcriptional profiling of livers from mice flown on Rodent Research Reference Mission-1 (RRRM-1),SpaceX-16,post_landing,explicit,2,flight_LAR only (ISS-T subgroup on-orbit),"To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.",,1,description,RRRM-1: LAR animals recovered 2 days before sacrifice; the ISS-T subgroup was sacrificed on-orbit after 22-23 days.,LAR=2,mixed_post_landing_and_on_orbit,LAR flight (analyzed); ISS-T flight on-orbit,api_description_euthanasia_proxy,API samples.table: Comment[Dissection Dates] | API description,"Comment[Dissection Dates] [Basal Control]: 5-Dec-18 to 6-Dec-18 (n=6); 9-Dec-19 and 7-Jan-20 to 9-Jan-20 (n=19) | API description: LAR animals were returned live, allowed to recover for 2 days, then sacrificed; ISS-T animals were sacrificed on-orbit","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.",,1,"The analyzed LAR flight samples have a 2-day post-landing recovery before the terminal tissue procedure. The ISS-T subgroup was handled on-orbit, so it has no post-landing interval; the API sample table also contains mixed basal-control dissection text that is retained below as raw API provenance."
OSD-397,Illumina NGS RNA-seq and RRBS Sequencing on Spaceflight Mouse Retina,SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 cohort (mice 'kept inside ISS middeck for 37 days'); this accession's description gives no post-landing euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-419,Transcriptional profiling of the right gastrocnemius muscle from mice flown on the RR-1 mission,SpaceX-4,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),This dataset was generated only from Flight (n of 4) and Ground control (n of 8) animals that were euthanized and preserved intact on-orbit for subsequent dissection on the ground.,This dataset was generated only from Flight (n of 4) and Ground control (n of 8) animals that were euthanized and preserved intact on-orbit for subsequent dissection on the ground.,,1,description,RR-1: flight mice euthanized on-orbit after 37 d; carcasses stowed in MELFI and returned. Post-landing euthanasia time not applicable.,Space Flight=165-170,mixed_on_orbit_and_post_landing,Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date (Final Dissection)],Comment[BSP Dissection Date (Final Dissection)] [Ground Control]: 08-Apr-2015 (n=2); 10-Apr-2015 (n=1); 13-Apr-2015 (n=1); 14-Apr-2015 (n=1); 15-Apr-2015 (n=1); 16-Apr-2015 (n=1); 17-Apr-2015 (n=1) | Comment[BSP Dissection Date (Final Dissection)] [Space Flight]: 08-Apr-2015 (n=2); 10-Apr-2015 (n=1); 13-Apr-2015 (n=1),,,,0,API samples.table provides final dissection dates for the analyzed Flight/Ground records; the description also notes that two flight animals were dissected on the ISS. Read the scope and raw API values rather than treating every sample as one collection event.
OSD-420,Transcriptional profiling of spleens from mice flown on the RR-9 mission,SpaceX-12,post_landing_date_derived,conditional_date_derived,1-2,flight,"After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018.","After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018.",,1,description,"Description gives euthanasia on 9/18/2018, while the same fresh API record identifies the SpaceX-12 mission as ending 9/17/2017; the year is a source typo and the description alone cannot determine an exact integer interval. Record as conditional ~1-2 d, not a confirmed 2 d.",Space Flight=1,post_landing_api_dissection_date_derived,Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[Euthanasia and Dissection Date],Comment[Euthanasia and Dissection Date] [Ground Control]: 18-Jun-2018 (n=10) | Comment[Euthanasia and Dissection Date] [Space Flight]: 18-Sep-2017 (n=10),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '09/17/2017'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-421,Transcriptional profiling of thymus from mice flown on the RR-9 mission,SpaceX-12,post_landing_date_derived,conditional_date_derived,1-2,flight,"After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018.","After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018.",,1,description,"Description gives euthanasia on 9/18/2018, while the same fresh API record identifies the SpaceX-12 mission as ending 9/17/2017; the year is a source typo and the description alone cannot determine an exact integer interval. Record as conditional ~1-2 d, not a confirmed 2 d.",Space Flight=1,post_landing_api_dissection_date_derived,Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[Euthanasia and Dissection Date],Comment[Euthanasia and Dissection Date] [Ground Control]: 18-Jun-2018 (n=10) | Comment[Euthanasia and Dissection Date] [Space Flight]: 18-Sep-2017 (n=10),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '09/17/2017'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-462,"Transcriptional profiling, protein expression profiling, and phosphoprotein profiling of kidneys from mice flown on the RR-10 mission",SpaceX-21,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"Then, following 28-29 days in microgravity, the Flight mice were euthanized.","Then, following 28-29 days in microgravity, the Flight mice were euthanized.",,1,description,RR-10: flight mice euthanized on-orbit after 28-29 d; carcasses cryopreserved and returned. Post-landing time not applicable.,Space Flight=119,post_landing_api_dissection_date_derived,Basal Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Basal Control]: 11-May-2021 (n=13) | Comment[BSP Dissection Date] [Space Flight]: 12-May-2021 (n=12),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/13/2021'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-463,Transcriptional profiling of livers from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",Space Flight=1,post_landing_api_dissection_date_derived,Ground Control; Space Flight; Vivarium Control,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Ground Control]: 17-Jan-2021 (n=10) | Comment[BSP Dissection Date] [Space Flight]: 14-Jan-2021 (n=12) | Comment[BSP Dissection Date] [Vivarium Control]: 20-Jan-2021 (n=3),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/13/2021'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-464,Transcriptional profiling of lungs from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",Space Flight=1,post_landing_api_dissection_date_derived,Ground Control; Space Flight; Vivarium Control,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Ground Control]: 17-Jan-2021 (n=9) | Comment[BSP Dissection Date] [Space Flight]: 14-Jan-2021 (n=10) | Comment[BSP Dissection Date] [Vivarium Control]: 20-Jan-2021 (n=6),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '1/13/21'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-47,"Rodent Research-1 (RR1) National Lab Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",SpaceX-4,on_orbit,inferred_on_orbit,,all flight (dissected on the ISS),"Groups included: Flight (FLT) dissected on-orbit (21 or 22 days after launch); age-matched Ground Controls (GC); and Basal Controls (BC, euthanized at time of launch).","Groups included: Flight (FLT) dissected on-orbit (21 or 22 days after launch); age-matched Ground Controls (GC); and Basal Controls (BC, euthanized at time of launch).",,1,description,RR-1 CASIS: flight group dissected on-orbit (21-22 d after launch). Post-landing time not applicable.,,on_orbit,flight (dissected on ISS),api_description_on_orbit,API description,API description: dissected on-orbit (21 or 22 days after launch),"Groups included: Flight (FLT) dissected on-orbit (21 or 22 days after launch); age-matched Ground Controls (GC); and Basal Controls (BC, euthanized at time of launch).","Groups included: Flight (FLT) dissected on-orbit (21 or 22 days after launch); age-matched Ground Controls (GC); and Basal Controls (BC, euthanized at time of launch).",,1,Tissue was obtained on-orbit; a post-landing interval is not applicable.
OSD-48,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,Secondary dataset-mining analysis; description gives no euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-506,Transcriptional profiling of spleens from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",Space Flight=1,post_landing_api_dissection_date_derived,Ground Control; Space Flight; Vivarium Control,api_sample_dissection_date,API samples.table: Comment[Dissection Date],Comment[Dissection Date] [Ground Control]: 17-Jan-2021 (n=10) | Comment[Dissection Date] [Space Flight]: 14-Jan-2021 (n=9) | Comment[Dissection Date] [Vivarium Control]: 20-Jan-2021 (n=6),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/13/2021'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-511,Transcriptional profiling of mammary glands from mice flown on the RRRM-1 mission,SpaceX-16,post_landing,explicit,2,flight_LAR only (ISS-T subgroup on-orbit),"To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.",,1,description,RRRM-1 (mammary): LAR recovered 2 days; ISS-T subgroup sacrificed on-orbit.,Space Flight=2-4,post_landing_api_dissection_date_derived,Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[Dissection Date],Comment[Dissection Date] [Ground Control]: 17-Jan-2019 (n=15) | Comment[Dissection Date] [Space Flight]: 16-Jan-2019 (n=7); 18-Jan-2019 (n=3),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/14/2019'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-512,Transcriptional profiling of adrenal glands from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",Space Flight=1,post_landing_api_dissection_date_derived,Ground Control; Space Flight; Vivarium Control,api_sample_dissection_date,API samples.table: Comment[Dissection Date],Comment[Dissection Date] [Ground Control]: 17-Jan-2021 (n=10) | Comment[Dissection Date] [Space Flight]: 14-Jan-2021 (n=10) | Comment[Dissection Date] [Vivarium Control]: 20-Jan-2021 (n=5),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/13/2021'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
