accession,title,mission_name,category,confidence,euthanasia_after_landing_days,euthanasia_group_scope,evidence_sentence,evidence_sentence_1,evidence_sentence_2,evidence_sentence_count,source_field,notes
OSD-379,Transcriptional profiling of livers from mice flown on Rodent Research Reference Mission-1 (RRRM-1),SpaceX-16,post_landing,explicit,2,flight_LAR only (ISS-T subgroup on-orbit),"To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.",,1,description,RRRM-1: LAR animals recovered 2 days before sacrifice; the ISS-T subgroup was sacrificed on-orbit after 22-23 days.
OSD-397,Illumina NGS RNA-seq and RRBS Sequencing on Spaceflight Mouse Retina,SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 cohort (mice 'kept inside ISS middeck for 37 days'); this accession's description gives no post-landing euthanasia timing.
OSD-419,Transcriptional profiling of the right gastrocnemius muscle from mice flown on the RR-1 mission,SpaceX-4,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),This dataset was generated only from Flight (n of 4) and Ground control (n of 8) animals that were euthanized and preserved intact on-orbit for subsequent dissection on the ground.,This dataset was generated only from Flight (n of 4) and Ground control (n of 8) animals that were euthanized and preserved intact on-orbit for subsequent dissection on the ground.,,1,description,RR-1: flight mice euthanized on-orbit after 37 d; carcasses stowed in MELFI and returned. Post-landing euthanasia time not applicable.
OSD-420,Transcriptional profiling of spleens from mice flown on the RR-9 mission,SpaceX-12,post_landing_date_derived,conditional_date_derived,1-2,flight,"After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018.","After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018.",,1,description,"Description gives euthanasia on 9/18/2018, while the same fresh API record identifies the SpaceX-12 mission as ending 9/17/2017; the year is a source typo and the description alone cannot determine an exact integer interval. Record as conditional ~1-2 d, not a confirmed 2 d."
OSD-421,Transcriptional profiling of thymus from mice flown on the RR-9 mission,SpaceX-12,post_landing_date_derived,conditional_date_derived,1-2,flight,"After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018.","After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018.",,1,description,"Description gives euthanasia on 9/18/2018, while the same fresh API record identifies the SpaceX-12 mission as ending 9/17/2017; the year is a source typo and the description alone cannot determine an exact integer interval. Record as conditional ~1-2 d, not a confirmed 2 d."
OSD-462,"Transcriptional profiling, protein expression profiling, and phosphoprotein profiling of kidneys from mice flown on the RR-10 mission",SpaceX-21,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"Then, following 28-29 days in microgravity, the Flight mice were euthanized.","Then, following 28-29 days in microgravity, the Flight mice were euthanized.",,1,description,RR-10: flight mice euthanized on-orbit after 28-29 d; carcasses cryopreserved and returned. Post-landing time not applicable.
OSD-463,Transcriptional profiling of livers from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-464,Transcriptional profiling of lungs from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-47,"Rodent Research-1 (RR1) National Lab Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",SpaceX-4,on_orbit,inferred_on_orbit,,all flight (dissected on the ISS),"Groups included: Flight (FLT) dissected on-orbit (21 or 22 days after launch); age-matched Ground Controls (GC); and Basal Controls (BC, euthanized at time of launch).","Groups included: Flight (FLT) dissected on-orbit (21 or 22 days after launch); age-matched Ground Controls (GC); and Basal Controls (BC, euthanized at time of launch).",,1,description,RR-1 CASIS: flight group dissected on-orbit (21-22 d after launch). Post-landing time not applicable.
OSD-48,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,Secondary dataset-mining analysis; description gives no euthanasia timing.
OSD-506,Transcriptional profiling of spleens from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-511,Transcriptional profiling of mammary glands from mice flown on the RRRM-1 mission,SpaceX-16,post_landing,explicit,2,flight_LAR only (ISS-T subgroup on-orbit),"To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice.",,1,description,RRRM-1 (mammary): LAR recovered 2 days; ISS-T subgroup sacrificed on-orbit.
OSD-512,Transcriptional profiling of adrenal glands from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-513,Transcriptional profiling of kidneys from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-515,Transcriptional profiling of thymus from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-525,Transcriptional profiling of cerebellums from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-576,Transcriptional profiling of tibialis anterior muscle from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (January 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (January 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-580,Transcriptional profiling of heart tissue from mice flown on the RRRM-2 mission,SpaceX-18,post_landing,explicit,24,flight_LAR only (ISS-T subgroup on-orbit),"To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.",,1,description,RRRM-2 (heart): LAR recovered 24 days before sacrifice; ISS-T subgroup sacrificed on-orbit after 55-58 days.
OSD-599,Transcriptomic Effects on the Mouse Heart Following 30 Days on the International Space Station,NG-11,not_stated,not_stated,,n/a,,,,0,description,Description says mice were 'flown on the ISS for 30 days' but gives no post-landing euthanasia timing.
OSD-665,Transcriptional profiling of right extensor digitorum longus muscle from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (January 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (January 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-666,Transcriptional profiling of right quadriceps femoris muscle from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (January 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (January 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-667,Transcriptional profiling of colon from mice flown on the RR-10 mission,SpaceX-21,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"Then, following 28-29 days in microgravity, the Flight mice were euthanized.","Then, following 28-29 days in microgravity, the Flight mice were euthanized.",,1,description,RR-10 (colon): same on-orbit schedule as OSD-462. Post-landing time not applicable.
OSD-686,Impact of spaceflight and artificial gravity on sulfur metabolism in mouse liver: sulfur metabolomic and transcriptomic analysis,SpaceX-12,not_stated,not_stated,,n/a,,,,0,description,Description says mice were 'on board the International Space Station for 30 days' but gives no post-landing euthanasia timing.
OSD-690,Nrf2 alleviates spaceflight-induced immunosuppression and thrombotic microangiopathy in mice,SpaceX-14,not_stated,not_stated,,n/a,,,,0,description,Description says mice 'travelled in space for 31 days' but gives no post-landing euthanasia timing.
OSD-714,Lunar gravity prevents skeletal muscle atrophy but not myofiber type shift in mice,"SpaceX-9, SpaceX-17, SpaceX-20",not_stated,proxy_tissue_collection,,flight (tissue collected 2 d; euthanasia not stated),"All mice survived and returned to Earth, and skeletal muscle was collected two days after landing.","All mice survived and returned to Earth, and skeletal muscle was collected two days after landing.",,1,description,"Description states that skeletal muscle was collected 2 days after landing, but does not state when the mice were euthanized; do not use 2 d as a euthanasia interval."
OSD-758,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Retina data,SpaceX-27,not_stated,not_stated,,n/a,,,,0,description,Description says tissue processed 'after returning them to Earth alive' but gives no number of days after landing.
OSD-759,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Optic nerve data,SpaceX-27,not_stated,not_stated,,n/a,,,,0,description,Description says tissue processed 'after returning them to Earth alive' but gives no number of days after landing.
OSD-770,Transcriptional profiling of soleus muscle from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (GC/VIV are controls),"Flight mice were then returned to Earth alive (January 13th, 2021). ... FLT, GC and VIV animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (January 13th, 2021).","FLT, GC and VIV animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls)."
OSD-771,Transcriptional profiling of kidney tissue from mice flown on the Rodent Research Reference Mission-2 (RRRM-2),SpaceX-18,post_landing,explicit,24,flight_LAR only (ISS-T subgroup on-orbit),"To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.",,1,description,RRRM-2 (kidney): LAR recovered 24 days before sacrifice; ISS-T on-orbit.
OSD-899,Transcriptional profiling of cecum from mice flown on the RR-10 mission,SpaceX-21,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"Then, following 28-29 days in microgravity, the Flight mice were euthanized.","Then, following 28-29 days in microgravity, the Flight mice were euthanized.",,1,description,RR-10 (cecum): same on-orbit schedule as OSD-462. Post-landing time not applicable.
OSD-900,Transcriptional profiling of lungs from mice flown on the RR-10 mission,SpaceX-21,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"Then, following 28-29 days in microgravity, the Flight mice were euthanized.","Then, following 28-29 days in microgravity, the Flight mice were euthanized.",,1,description,RR-10 (lung): same on-orbit schedule as OSD-462. Post-landing time not applicable.
OSD-99,Rodent Research-1 (RR1) NASA Validation Flight: Mouse extensor digitorum longus muscle transcriptomic and epigenomic data,SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 archived-tissue re-analysis; description says tissue was 'stored at least a year at -80C after return to Earth' but gives no post-landing euthanasia timing.
